Approximate vocal-track candidates from CLAP text/audio contrast
Database: C:\db\abstracted.sqlite
Tracks with CLAP embeddings: 61355
Threshold: top 5% score >= -0.033566
Selected: 3068
Score = max(vocal prompt similarity) - max(instrumental prompt similarity)

score	id	title	maest_top_labels	path
0.089182	32080	Alexander Skancke - Lost In Time	Downtempo, Deep House, House	M:/Volumes/Abstracted/30001-40000/Alexander Skancke - Lost In Time.flac
0.089143	40017	Sagal - Set Me Free (Yaw Evans Remix)	Progressive Breaks, House, Progressive House	M:/Volumes/Abstracted/40001-50000/03. Sagal - Set Me Free (Yaw Evans Remix).flac
0.089093	39327	Umho, Andre Butano- La Culpa (Original Mix) 24.44	Electro, House, Breakbeat	M:/Volumes/Abstracted/30001-40000/Umho, Andre Butano- La Culpa (Original Mix) 24.44.wav
0.088967	16010	Miller - Welcome to London	Techno, Minimal, Progressive Trance	M:/Volumes/Abstracted/10001-20000/Miller - Welcome to London.flac
0.088959	25660	Melchior Productions Ltd feat. Jaw & Alina Pash - Closer (No Way Mix)	Deep House, House, Tech House	M:/Volumes/Abstracted/20001-30000/Melchior Productions Ltd feat Jaw & Alina Pash Closer No Way Mix.flac
0.088380	21473	Anz - But at Least We Have This	Bassline, UK Garage, House	M:/Volumes/Abstracted/20001-30000/But at Least We Have This.flac
0.088341	14491	Jamie Lewis DJ Pippi - Impress Me	House, Tribal House, Deep House	M:/Volumes/Abstracted/10001-20000/Jamie Lewis DJ Pippi - Impress Me.wav
0.087982	10995	Atom™ Señor Coconut Behind the Mask Ricardo Villalobos Remix	Techno, Minimal, Tech House	M:/Volumes/Abstracted/10001-20000/Atom™ Señor Coconut Behind the Mask Ricardo Villalobos Remix.wav
0.087682	43810	Kerri Chandler (Official) - Jennifer Morrison - Don-t Hide Your Love from Me	House, Deep House, Garage House	M:/Volumes/Albums/Kerri Chandler (Official) - Dad Giveaway 03/Kerri Chandler (Official) - Dad Giveaway - 40 Jennifer Morrison - Don-t Hide Your Love from Me.aiff
0.087679	32774	Bernard Badie - I Want You Back	Garage House, House, Deep House	M:/Volumes/Abstracted/30001-40000/Bernard Badie - I Want You Back.flac
0.087632	16438	Nina Kraviz - tarde (nina kraviz psy mix)	Psy-Trance, Progressive Trance, Goa Trance	M:/Volumes/Abstracted/10001-20000/Nina Kraviz - tarde (nina kraviz psy mix).flac
0.087585	30881	Stefan Ringer - Body Know	Deep House, House, Experimental	M:/Volumes/Abstracted/30001-40000/04 - Body Know.flac
